1-CdSe,,2-CdMnSe,
波长 (nm),吸光度,波长 (nm),吸光度
628,0.262864155392618,628,0.00962584453870031
627,0.263296048972913,627,0.00981683957881725
626,0.263507740647407,626,0.00933722157480592
625,0.264694534254032,625,0.0100593641390561
624,0.265053712373389,624,0.00986360182189452
623,0.265708571196323,623,0.0101551452722308
622,0.266543467241305,622,0.0100977800370516
621,0.267496940364039,621,0.0100773529537539
620,0.268359246221883,620,0.0101352719311026
619,0.269334573723381,619,0.0105828278881015
618,0.27028045447764,618,0.0104700338285081
617,0.270970494059997,617,0.0108339814340017
616,0.271667099505984,616,0.0105583995085468
615,0.272341464541035,615,0.0107668938855108
614,0.27284280766478,614,0.0109297212102413
613,0.273147562127789,613,0.0110181804816899
612,0.273548062452238,612,0.0112670090513653
611,0.273602397674598,611,0.0112454908640282
610,0.273720325576573,610,0.0114526410405166
609,0.273490527015752,609,0.0115651589313405
608,0.273352210751856,608,0.011564255057038
607,0.273194951994792,607,0.0117058406530737
606,0.272704066963946,606,0.0119549572084113
605,0.272481592253883,605,0.0120021631419733
604,0.272439369840713,604,0.011965254795804
603,0.272336085236034,603,0.0123392465828913
602,0.272252932564443,602,0.0122737101941026
601,0.272493615000652,601,0.0127931330438669
600,0.27281195100513,600,0.0128618675518482
599,0.273218648867614,599,0.0131337927593077
598,0.273876315696973,598,0.0131962835966348
597,0.274848479709418,597,0.0133798323733595
596,0.275589860614605,596,0.0136487431250715
595,0.276874475735376,595,0.0137178803587656
594,0.278766078168793,594,0.0139628878697401
593,0.280527705992817,593,0.0142526496975218
592,0.282799604082092,592,0.0144816330101275
591,0.285430830465185,591,0.0147499416107414
590,0.287802859077632,590,0.0149616105885495
589,0.291019967213773,589,0.0156093388540107
588,0.293889000787019,588,0.0157726500614724
587,0.29727351234852,587,0.0157118004008513
586,0.301248890795179,586,0.0163069738165217
585,0.304904626026162,585,0.0168571330229746
584,0.308645950172188,584,0.0175148386941147
583,0.312755276365952,583,0.0176246790132719
582,0.317266182764283,582,0.0181210722932261
